task_id,type,TaskHuman,GlobalSuccess,GlobalFail,FailedToGrasp,NoAttention,Evaluating,Tired,Recovery,RobotIntefered,WarningTheRobot,RobotIsWarned,TaskRobot
1,"""distracted_collaborative.POMDPx""",1,0,0,0,23,8,0,0,9,0,0,0
2,"""distracted_collaborative.POMDPx""",1,0,0,0,16,8,0,0,8,2,0,0
3,"""distracted_collaborative.POMDPx""",2,0,0,0,19,0,0,0,9,2,0,0
4,"""distracted_collaborative.POMDPx""",1,0,0,5,4,15,7,0,12,0,0,0
5,"""distracted_collaborative.POMDPx""",1,0,0,0,5,12,0,0,12,0,0,0
6,"""distracted_collaborative.POMDPx""",1,0,0,0,0,2,0,0,0,0,0,0
7,"""distracted_collaborative.POMDPx""",3,0,0,0,17,0,0,0,11,0,0,0
8,"""distracted_collaborative.POMDPx""",1,0,0,6,0,17,0,0,0,0,0,0
9,"""distracted_collaborative.POMDPx""",1,0,0,6,13,14,0,0,11,0,0,0
10,"""distracted_collaborative.POMDPx""",1,0,0,0,6,11,0,0,11,0,0,0
11,"""distracted_collaborative.POMDPx""",3,0,0,0,24,11,0,0,7,0,0,0
12,"""distracted_collaborative.POMDPx""",1,0,0,0,0,3,0,0,0,0,0,0
13,"""distracted_collaborative.POMDPx""",1,0,0,2,24,15,0,0,0,0,0,0
14,"""distracted_collaborative.POMDPx""",1,0,0,0,28,9,5,0,2,0,0,0
15,"""distracted_collaborative.POMDPx""",1,0,0,0,11,8,0,0,11,0,0,0
16,"""distracted_collaborative.POMDPx""",1,0,0,6,13,25,0,0,12,0,0,0
17,"""distracted_collaborative.POMDPx""",1,0,0,17,21,17,0,0,0,0,0,0
18,"""distracted_collaborative.POMDPx""",1,0,0,0,17,0,0,0,11,0,0,0
19,"""distracted_collaborative.POMDPx""",1,0,0,2,0,14,0,0,0,0,0,0
20,"""distracted_collaborative.POMDPx""",1,0,0,0,25,2,0,0,0,0,0,0
21,"""distracted_collaborative.POMDPx""",2,0,0,0,23,0,0,0,11,0,0,0
22,"""distracted_collaborative.POMDPx""",1,0,0,0,18,12,0,0,12,0,0,0
23,"""distracted_collaborative.POMDPx""",1,0,0,2,0,15,0,0,0,0,0,0
24,"""distracted_collaborative.POMDPx""",1,0,0,0,10,15,0,0,0,0,0,0
25,"""distracted_collaborative.POMDPx""",1,0,0,0,18,9,0,0,6,2,0,0
26,"""distracted_collaborative.POMDPx""",1,0,0,0,15,20,0,0,4,7,0,0
27,"""distracted_collaborative.POMDPx""",1,0,0,0,17,0,0,0,11,0,0,0
28,"""distracted_collaborative.POMDPx""",1,0,0,0,0,2,0,0,0,0,0,0
29,"""distracted_collaborative.POMDPx""",1,0,0,0,0,2,0,0,0,0,0,0
30,"""distracted_collaborative.POMDPx""",1,0,0,0,18,8,0,0,11,0,0,0
31,"""distracted_collaborative.POMDPx""",1,0,0,0,20,6,17,0,0,0,0,0
32,"""distracted_collaborative.POMDPx""",1,0,0,0,0,3,0,0,0,0,0,0
33,"""distracted_collaborative.POMDPx""",2,0,0,0,0,6,0,0,0,0,0,0
34,"""distracted_collaborative.POMDPx""",1,0,0,0,21,13,0,0,20,0,0,0
35,"""distracted_collaborative.POMDPx""",1,0,0,0,41,0,0,0,2,0,0,0
36,"""distracted_collaborative.POMDPx""",1,0,0,0,13,8,0,0,11,0,0,0
37,"""distracted_collaborative.POMDPx""",1,0,0,0,19,0,0,0,13,0,0,0
38,"""distracted_collaborative.POMDPx""",1,0,0,0,24,2,0,0,0,0,0,0
39,"""distracted_collaborative.POMDPx""",1,0,0,9,0,20,0,0,12,0,0,0
40,"""distracted_collaborative.POMDPx""",2,0,0,0,18,9,0,0,10,2,0,0
41,"""distracted_collaborative.POMDPx""",1,0,0,0,0,6,0,0,0,0,0,0
42,"""distracted_collaborative.POMDPx""",1,0,0,9,4,15,0,0,12,0,0,0
43,"""distracted_collaborative.POMDPx""",3,0,0,0,11,2,0,0,0,0,0,0
44,"""distracted_collaborative.POMDPx""",1,0,0,0,12,7,5,0,0,0,0,0
45,"""distracted_collaborative.POMDPx""",1,0,0,0,19,8,0,0,11,0,0,0
46,"""distracted_collaborative.POMDPx""",1,0,0,0,15,14,0,0,0,0,0,0
